,interaction,Immune count,all cell count,Immune %
1,0.5063050440352281,2558.0,5167,49.50648345268047
2,1.023576351106275,956.0,3028,31.571994715984147
3,0.1183239893773974,3179.0,6315,50.34045922406968
4,0.050293484227862,4161.0,6643,62.63736263736264
5,0.0971436093194682,2790.0,5406,51.6093229744728
6,0.1680020241207725,2320.0,5998,38.67955985328443
7,0.91324200913242,558.0,3410,16.363636363636363
8,0.5910619894281596,561.0,3136,17.8890306122449
9,0.1627050154504397,3272.0,6139,53.298582831079976
10,0.2037991667255137,2866.0,4580,62.5764192139738
11,1.165176575771122,1617.0,5112,31.631455399061032
12,0.5122859803710867,3547.0,6995,50.707648320228735
13,0.1762595419847328,5163.0,7665,67.35812133072407
14,0.9932670727797372,1050.0,6270,16.74641148325359
15,3.8368794326241136,114.0,3315,3.438914027149321
16,0.0524489740601198,6499.0,8212,79.14028251339504
17,0.2983919800847742,3254.0,7071,46.01895064347335
18,3.3884785819793204,500.0,5539,9.026900162484203
19,0.6848792884371029,208.0,4400,4.727272727272728
20,0.8158512720156555,1557.0,5103,30.511463844797177
21,1.1776187378009109,550.0,5423,10.141987829614605
22,2.72992700729927,173.0,3072,5.631510416666666
23,0.4989782016348774,719.0,4490,16.01336302895323
24,2.970802919708029,88.0,4613,1.9076522870149577
25,0.9123055162659124,222.0,2658,8.35214446952596
26,1.0262172284644195,91.0,5119,1.7776909552647002
27,0.5934278350515464,826.0,4332,19.067405355494
28,0.0262897203383372,4503.0,6061,74.29467084639498
29,0.3459775967413442,1760.0,4819,36.52210002075119
31,1.6391184573002755,316.0,3415,9.25329428989751
32,0.1906237673973065,3551.0,5158,68.84451337727802
33,0.5815542271562767,315.0,2046,15.395894428152491
34,0.1827040194884287,1309.0,2856,45.83333333333333
35,0.012215062037126,7031.0,7716,91.12234318299636
36,0.0854568854568854,1423.0,2939,48.41782919360327
37,0.0532955618508026,4673.0,6280,74.4108280254777
38,0.9586314152410575,1030.0,4330,23.78752886836028
39,0.2868985402775275,2403.0,4030,59.62779156327544
40,0.0704861870398717,2486.0,4285,58.01633605600933
41,0.0956285917220895,2844.0,4532,62.753751103265664
